"MB QR","ASIN","ORDER CODE","SKU USA","FNSKU USA","Nombre","SKU SPAIN","FNSKU SPAIN","SKU UK","FNSKU UK","MB Packing","","","","","","","","","","","","","",""
"BTPSCUSTU-0DDF-20M1P-44MB","B00T8BN4GE","BTPSCUSTU-0DDF-20M1P","KS-XGB0-FQET","X000Q7BK4N","SC to ST Fiber Patch Cable Single Mode Duplex - 20m (65.6ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCUSTU-0DDF-20M1P","B00T8BN4GE","BTPSCUSTU-0DDF-20M1P","X00118567F","44","","","","","","","","","","","","","",""
"BTPSTUSTU-0DDF-20M1P-44MB","B00T8C2H5W","BTPSTUSTU-0DDF-20M1P","5F-2H95-GOB0","X000Q7BOAX","ST to ST Fiber Patch Cable Single Mode Duplex - 20m (65.6ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSTUSTU-0DDF-20M1P","B00T8C2H5W","BTPSTUSTU-0DDF-20M1P","X0011856E3","44","","","","","","","","","","","","","",""
"BTPSCAFCA-0DDF-20M1P-44MB","B01M29K3YM","BTPSCAFCA-0DDF-20M1P","BT-FOAPCPCDU-SCFC-65FT1P","X0018QGH5X","SC to FC Fiber Patch Cable Single Mode Duplex - 20m (65.6ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCAFCA-0DDF-20M1P","B01M29K3YM","BTPSCAFCA-0DDF-20M1P","X00115KC7R","44","","","","","","","","","","","","","",""
"BTPSCASCA-0DDF-20M1P-44MB","B01M71RNNA","BTPSCASCA-0DDF-20M1P","BT-FOAPCPCDU-SCSC-65FT1P","X0018ZOG9X","SC to SC Fiber Patch Cable Single Mode Duplex - 20m (65.6ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCASCA-0DDF-20M1P","B01M71RNNA","BTPSCASCA-0DDF-20M1P","X00111ZDLB","44","","","","","","","","","","","","","",""
"BTPLCALCA-0DDF-20M1P-44MB","B01MDR8T36","BTPLCALCA-0DDF-20M1P","BT-FOAPCPCDU-LCLC-65FT1P","X0018QGH67","LC to LC Fiber Patch Cable Single Mode Duplex - 20m (65.6ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCALCA-0DDF-20M1P","X000WRCF57","BTPLCALCA-0DDF-20M1P","X000X7QDIL","44","","","","","","","","","","","","","",""
"BTPSCUSCU-0DDF-2M5P-30MB","B07GVM2SPW","BTPSCUSCU-0DDF-2M5P","BTPSCUSCU-0DDF-2M5P","X001VKDGQ9","SC to SC Fiber Patch Cable Single Mode Duplex - 2m (6.56ft) - 9/125um OS1 (5 Pack) - Beyondtech PureOptics Cable Series","BTPSCUSCU-0DDF-2M5P","B07GVM2SPW","BTPSCUSCU-0DDF-2M5P","X0011856A7","30","","","","","","","","","","","","","",""
"BTPLCUSCU-0DDF-1M5P-30MB","B07GVN8XFQ","BTPLCUSCU-0DDF-1M5P","BTPLCUSCU-0DDF-1M5P","X001VKGGO3","LC to SC Fiber Patch Cable Single Mode Duplex - 1m (3.28ft) - 9/125um OS1 (5 Pack) - Beyondtech PureOptics Cable Series","BTPLCUSCU-0DDF-1M5P","B07GVN8XFQ","BTPLCUSCU-0DDF-1M5P","X00113ON8D","30","","","","","","","","","","","","","",""
"BTPLCULCU-0DDF-1M5P-30MB","B07GVNMNP4","BTPLCULCU-0DDF-1M5P","BTPLCULCU-0DDF-1M5P","X001VKF243","LC to LC Fiber Patch Cable Single Mode Duplex - 1m (3.28ft) - 9/125um OS1 (5 Pack) - Beyondtech PureOptics Cable Series","BTPLCULCU-0DDF-1M5P","B07GVNMNP4","BTPLCULCU-0DDF-1M5P","X00115KIR1","30","","","","","","","","","","","","","",""
"BTPSTUSTU-0DDF-1M5P-30MB","B07GVNNGPS","BTPSTUSTU-0DDF-1M5P","BTPSTUSTU-0DDF-1M5P","X001VK92OT","ST to ST Fiber Patch Cable Single Mode Duplex - 1m (3.28ft) - 9/125um OS1 (5 Pack) - Beyondtech PureOptics Cable Series","BTPSTUSTU-0DDF-1M5P","B07GVNNGPS","BTPSTUSTU-0DDF-1M5P","X00111ZDRZ","30","","","","","","","","","","","","","",""
"BTPLCUSTU-0DDF-2M5P-30MB","B07GVNQNJ2","BTPLCUSTU-0DDF-2M5P","BTPLCUSTU-0DDF-2M5P","X001VKGSB9","LC to ST Fiber Patch Cable Single Mode Duplex - 2m (6.56ft) - 9/125um OS1 (5 Pack) - Beyondtech PureOptics Cable Series","BTPLCUSTU-0DDF-2M5P","B07GVNQNJ2","BTPLCUSTU-0DDF-2M5P","X00113ON7J","30","","","","","","","","","","","","","",""
